m,q,a,requested_digits,guard_digits,working_bits,planned_direct_depth,planned_transformed_depth,selected_regime,retained_depth,value,R_tail,R_rec,R_sum,R_trans,R_coef,R_total,certified_digits
1.0e-6,0.99999900000049999983,0,1000,50,3553,49171,1,transformed,1,1772.4538509055160272981674833411451827975494561223871282138077898529112845910322,4.2634414562355211539e-17145256,1.0919944503088687753e-4287380,4.8865274439860126738e-1067,1.9546109775944050695e-1066,0.0,2.4432637219930063369e-1066,1065.612
0.0001,0.9999000049998333375,0,1000,50,3553,4918,1,transformed,1,177.24538509055160272981674833411451827975494561223871282138077898529112845910322,9.1286485190105915196e-171451,4.1771683303965486498e-43930,4.8865274439860126738e-1068,1.9546109775944050695e-1067,0.0,2.4432637219930063369e-1067,1066.612
0.01,0.99004983374916805357,0,1000,50,3553,492,2,transformed,2,17.724538509055160272981674833411451827975494561223871282138077898529112845910322,7.3510261379838405738e-3857,1.3699622248771859868e-1496,9.7730548879720253475e-1069,1.9546109775944050695e-1068,0.0,2.9319164663916076043e-1068,1067.533
0.1,0.90483741803595957316,0,1000,50,3553,156,5,transformed,5,5.604991216397928699311282433868800893854325311445701880396915529177373410966151,9.46895703568122029e-1543,2.5411733297503358634e-1111,4.6357669715749978373e-1069,6.181022628766663783e-1069,0.0,1.081678960034166162e-1068,1067.966
1.0,0.3678794411714423216,0,1000,50,3553,50,16,transformed,16,1.772637204826652153031250551157858481343386045372246053831590510879968680839634,6.3774633757092416174e-1239,3.0329612265044900869e-1073,2.4435164687618816994e-1069,1.9548131750095053595e-1069,0.0,4.3986329398940375079e-1069,1068.357
10.0,0.000045399929762484851536,0,1000,50,3553,16,50,direct,16,1.0000907998595249781997796936142990918805842044198472687837214725868716151206583,1.548735649544225862e-1255,1.501971987317643113e-1073,1.3785891061408517049e-1069,0.0,0.0,1.3787393033395834692e-1069,1068.861
100.0,3.720075976020835963e-44,0,1000,50,3553,5,157,direct,5,1.0000000000000000000000000000000000000000000744015195204167192591939160772623667,6.9325840552668435856e-1564,1.2307177424959354462e-1112,8.2707836508514514311e-1070,0.0,0.0,8.2707836508514514311e-1070,1069.082
1.0e-6,0.99999900000049999983,1/2,1000,50,3553,49171,1,transformed,1,1772.4538509055160272981674833411451827975494561223871282138077898529112845910322,4.2634414562355211539e-17145256,1.0919944503088687753e-4287380,4.8865274439860126738e-1067,1.9546109775944050695e-1066,0.0,2.4432637219930063369e-1066,1065.612
0.0001,0.9999000049998333375,1/2,1000,50,3553,4918,1,transformed,1,177.24538509055160272981674833411451827975494561223871282138077898529112845910322,9.1286485190105915196e-171451,4.1771683303965486498e-43930,4.8865274439860126738e-1068,1.9546109775944050695e-1067,0.0,2.4432637219930063369e-1067,1066.612
0.01,0.99004983374916805357,1/2,1000,50,3553,492,2,transformed,2,17.724538509055160272981674833411451827975494561223871282138077898529112845910322,7.3510261379838405738e-3857,1.3699622248771859868e-1496,9.7730548879720253475e-1069,1.9546109775944050695e-1068,0.0,2.9319164663916076043e-1068,1067.533
0.1,0.90483741803595957316,1/2,1000,50,3553,156,5,transformed,5,5.604991216397928699311282433868800893854322238975864649519791258127193344337625,9.46895703568122029e-1543,2.5411733297503358634e-1111,4.6357669715749978373e-1069,6.181022628766663783e-1069,0.0,1.081678960034166162e-1068,1067.966
1.0,0.3678794411714423216,1/2,1000,50,3553,50,16,transformed,16,1.7722704969843799523080690001040016930574223502926486577751054139848580183418364,6.3774633757092416174e-1239,3.0329612265044900869e-1073,2.4435164687618816994e-1069,1.9548131750095053595e-1069,0.0,4.3986329398940375079e-1069,1068.357
10.0,0.000045399929762484851536,1/2,1000,50,3553,16,50,direct,16,0.16416999758617717486208342263226474761614755265562920482731001039951067379145559,1.8800922835667205329e-1330,1.810419377860544788e-1070,2.2630242199934607054e-1070,0.0,0.0,4.0734435978540054934e-1070,1069.39
100.0,3.720075976020835963e-44,1/2,1000,50,3553,5,157,direct,5,0.000000000027775887729928041189323527492173713820799520760410111167095599921762736276962899,2.5517842608734570819e-1835,3.063044774994323708e-1080,2.297283581245742781e-1080,0.0,0.0,5.3603283562400664891e-1080,1079.271
1.0e-6,0.99999900000049999983,1/3,1000,50,3553,49171,1,transformed,1,1772.4538509055160272981674833411451827975494561223871282138077898529112845910322,4.2634414562355211539e-17145256,5.4599722515443438767e-4287381,4.8865274439860126738e-1067,1.9546109775944050695e-1066,0.0,2.4432637219930063369e-1066,1065.612
0.0001,0.9999000049998333375,1/3,1000,50,3553,4918,1,transformed,1,177.24538509055160272981674833411451827975494561223871282138077898529112845910322,9.1286485190105915196e-171451,2.0885841651982743249e-43930,4.8865274439860126738e-1068,1.9546109775944050695e-1067,0.0,2.4432637219930063369e-1067,1066.612
0.01,0.99004983374916805357,1/3,1000,50,3553,492,2,transformed,2,17.724538509055160272981674833411451827975494561223871282138077898529112845910322,7.3510261379838405738e-3857,6.849811124385929934e-1497,9.7730548879720253475e-1069,1.9546109775944050695e-1068,0.0,2.9319164663916076043e-1068,1067.533
0.1,0.90483741803595957316,1/3,1000,50,3553,156,5,transformed,5,5.6049912163979286993112824338688008938543230070933239572390723258897383609947565,9.46895703568122029e-1543,1.2705866648751679317e-1111,4.6357669715749978373e-1069,6.181022628766663783e-1069,0.0,1.081678960034166162e-1068,1067.966
1.0,0.3678794411714423216,1/3,1000,50,3553,50,16,transformed,16,1.7723621739449479644316259494327885335387196246813540766637785775188249892298999,6.3774633757092416174e-1239,1.5164806132522450434e-1073,2.4433900953774440181e-1069,1.9547120763019552145e-1069,0.0,4.3982538197407244572e-1069,1068.357
10.0,0.000045399929762484851536,1/3,1000,50,3553,16,50,transformed,50,0.34093663528573342996482161925701374196204668700776076788126913031966962175708913,1.5105797869615511717e-1115,3.6984066314319741752e-1070,1.2908588281858512384e-1069,8.6057255212390082557e-1070,0.0,2.5212720434529494814e-1069,1068.598
100.0,3.720075976020835963e-44,1/3,1000,50,3553,5,157,transformed,157,0.000014945338524781495450060732720586482245694172052222479339768720572743189447357362,3.2658463207374623197e-1071,1.1643070888878250818e-1069,1.4703725254546160058e-1069,7.351862627273080029e-1070,0.0,3.4025243402771237137e-1069,1068.468
1.0e-6,0.99999900000049999983,1/4,1000,50,3553,49171,1,transformed,1,1772.4538509055160272981674833411451827975494561223871282138077898529112845910322,4.2634414562355211539e-17145256,0.0,4.8865274439860126738e-1067,1.9546109775944050695e-1066,0.0,2.4432637219930063369e-1066,1065.612
0.0001,0.9999000049998333375,1/4,1000,50,3553,4918,1,transformed,1,177.24538509055160272981674833411451827975494561223871282138077898529112845910322,9.1286485190105915196e-171451,0.0,4.8865274439860126738e-1068,1.9546109775944050695e-1067,0.0,2.4432637219930063369e-1067,1066.612
0.01,0.99004983374916805357,1/4,1000,50,3553,492,2,transformed,2,17.724538509055160272981674833411451827975494561223871282138077898529112845910322,7.3510261379838405738e-3857,2.3293156275807541965e-2782,9.7730548879720253475e-1069,1.9546109775944050695e-1068,0.0,2.9319164663916076043e-1068,1067.533
0.1,0.90483741803595957316,1/4,1000,50,3553,156,5,transformed,5,5.604991216397928699311282433868800893854323775210783264958353393652283377651888,9.46895703568122029e-1543,8.7202939849074614267e-1240,4.6357669715749978373e-1069,6.181022628766663783e-1069,0.0,1.081678960034166162e-1068,1067.966
1.0,0.3678794411714423216,1/4,1000,50,3553,50,16,transformed,16,1.7724538509055160019266751910513602783946947144123269006242676172734278232879346,6.3774633757092416174e-1239,5.5957899639673057992e-1086,2.4432637219930063719e-1069,1.9546109775944050975e-1069,0.0,4.3978746995874115253e-1069,1068.357
10.0,0.000045399929762484851536,1/4,1000,50,3553,16,50,transformed,50,0.53886815539276911933991029528493022796983613398623820037824962899238966562417186,1.5105797869615511717e-1115,4.7708868149332505714e-1071,9.6293491688411866525e-1070,6.4195661125607911016e-1070,0.0,1.6526003962895302811e-1069,1068.782
100.0,3.720075976020835963e-44,1/4,1000,50,3553,5,157,transformed,157,0.0019304541362277092422138843119629071946283368262587952605509513610677375745121199,3.2658463207374623197e-1071,8.1702879220417791628e-1070,1.1027711534774906386e-1069,5.5138557673874531928e-1070,0.0,2.5038439856277884973e-1069,1068.601
1.0e-6,0.99999900000049999983,1/6,1000,50,3553,49171,1,transformed,1,1772.4538509055160272981674833411451827975494561223871282138077898529112845910322,4.2634414562355211539e-17145256,5.4599722515443438767e-4287381,4.8865274439860126738e-1067,1.9546109775944050695e-1066,0.0,2.4432637219930063369e-1066,1065.612
0.0001,0.9999000049998333375,1/6,1000,50,3553,4918,1,transformed,1,177.24538509055160272981674833411451827975494561223871282138077898529112845910322,9.1286485190105915196e-171451,2.0885841651982743249e-43930,4.8865274439860126738e-1068,1.9546109775944050695e-1067,0.0,2.4432637219930063369e-1067,1066.612
0.01,0.99004983374916805357,1/6,1000,50,3553,492,2,transformed,2,17.724538509055160272981674833411451827975494561223871282138077898529112845910322,7.3510261379838405738e-3857,6.849811124385929934e-1497,9.7730548879720253475e-1069,1.9546109775944050695e-1068,0.0,2.9319164663916076043e-1068,1067.533
0.1,0.90483741803595957316,1/6,1000,50,3553,156,5,transformed,5,5.6049912163979286993112824338688008938543245433282425726776344614148283943090195,9.46895703568122029e-1543,1.2705866648751679317e-1111,4.6357669715749978373e-1069,6.181022628766663783e-1069,0.0,1.081678960034166162e-1068,1067.966
1.0,0.3678794411714423216,1/6,1000,50,3553,50,16,transformed,16,1.7725455278660840647932167249597169276535245458533599521742968296074955149524614,6.3774633757092416174e-1239,1.5164806132522450434e-1073,2.4433900953774440181e-1069,1.9547120763019552145e-1069,0.0,4.3982538197407244572e-1069,1068.357
10.0,0.000045399929762484851536,1/6,1000,50,3553,16,50,transformed,50,0.75843033091079535066149681272787611390860834122396508294780722210282039354826711,1.5105797869615511717e-1115,3.6984066314319741752e-1070,1.2908588281858512384e-1069,8.6057255212390082557e-1070,0.0,2.5212720434529494814e-1069,1068.598
100.0,3.720075976020835963e-44,1/6,1000,50,3553,5,157,transformed,157,0.062176524022116311494868469332074126566860927818173980467439689497259053998590781,3.2658463207374623197e-1071,1.1643070888878250818e-1069,1.4703725254546160058e-1069,7.351862627273080029e-1070,0.0,3.4025243402771237137e-1069,1068.468
